"id_port"|"deleted_by"|"deleted_date"|"is_deleted"|"created_by"|"created_date"|"changed_by"|"changed_date"|"active_status"|"address"|"avg_berth_time"|"city_regency"|"code"|"cruise_line_length"|"cruise_line_width"|"flag_data_source"|"flag_pioneer"|"flag_ppss"|"fresh_water"|"freshwater_delivery_method"|"fuel"|"height_at_high_tide"|"height_at_low_tide"|"latitude"|"longitude"|"max_berth_time"|"min_berth_time"|"number_of_berth"|"phone"|"pic_local"|"pilot_ship"|"port_code"|"port_name"|"province"|"pumping_rate"|"timezone_offset"|"tugboat"|"utc"|"wharf_depth"|"wharf_length"
"3349ad05-b76a-47d2-ae53-83e0b2b457ab"|||false|Admin|2023-08-01 12:00:20.654||2023-08-02 01:00:03.111|true|Request Tambahan dari mas Agung||LUWU TIMUR|"891"|||PELNI|N|Y|NOT_KNOWN|||||None|None||||"00"||NOT_KNOWN|AGU|Awerange/Barru|SULAWESI SELATAN||8|NOT_KNOWN|||
"13c7b8da-0c67-4944-9c46-5168574c909f"|||false|Admin|2023-08-01 12:00:20.736||2023-08-02 01:00:03.155|true|||MANGGARAI|"672"|||PELNI|N|Y|NOT_KNOWN||||||||||||NOT_KNOWN|REO|Reo|NUSA TENGGARA TIMUR||8|NOT_KNOWN|||
ca64bb78-97b1-476d-840e-8bbe475ff906|||false|Admin|2023-08-01 12:00:20.686||2023-08-02 01:00:03.123|true|Jalan Adi Sucipto, Alak, Kupang, Kota Kupang, Nusa Tenggara Timur||KUPANG|"681"|||PELNI|Y|Y|NOT_KNOWN|-||||None|None||||"081319614123"|AKHMAD SYAFRAN|NOT_KNOWN|TQP|Kupang|NUSA TENGGARA TIMUR||8|NOT_KNOWN||-|-
b2811ee3-48f4-41a3-b82a-bcd88ef3233c|||false|Admin|2023-08-01 12:00:20.671||2023-08-02 01:00:03.114|true|Jl. D.I. Panjaitan No. 19, Ambon 97124||AMBON|"946"|24140.00|1000.00|PELNI|Y|Y|AVAILABLE|Selang Dermaga||3.00|5.00|-3.6942|"128.177"||||"081344242587"|OSKAR|NOT_KNOWN|AMQ|Ambon|MALUKU|100.00|9|AVAILABLE||"6 - 10 meter"|Dermaga Yos Sudarso = 576 meter; Dermaga Slamet Riyadi = 300 meter
"671a506b-187c-4273-808f-84ca5a2bc8c5"|||false|Admin|2023-08-01 12:00:20.674||2023-08-02 01:00:03.116|true|""||BANGGAI|"868"|0.50|100.00|PELNI|Y|Y|AVAILABLE|Pipa Dermaga||2.00|4.00|-0.94963|"122.793"||||"081232349076"|DUTA KUSUMA PUTRA|NOT_AVAILABLE|LUW|Luwuk|SULAWESI TENGAH|10.00|8|NOT_AVAILABLE||"8 - 10 meter"|"100 meter"
"6ab1ca09-de32-4015-a5aa-07a51eb8c246"|||false|Admin|2023-08-01 12:00:20.677||2023-08-02 01:00:03.118|true|Jl. R.E. Martadinata,sungai Harapan, Kecamatan  Sekupang,Kabupaten/Kotamadya||BATAM|"256"|0.00|0.00|PELNI|Y|Y|AVAILABLE|"0"|||0.00|"1.08207"|"103.936"||||"081390841444"|AGUS SUPRIJATNO S.|AVAILABLE|BUR|Batam/Batu Ampar|KEPULAUAN RIAU|0.00|7|NOT_KNOWN||"0"|"0"
"9d79dfde-0237-4b7a-9a6d-61b918d04527"|||false|Admin|2023-08-01 12:00:20.680||2023-08-02 01:00:03.120|true|Serui Kota, Yapen Sel., Kabupaten Kepulauan Yapen, Papua 98215||GORONTALO|"841"|||PELNI|Y|Y|NOT_KNOWN|-||||"0.50442"|"123.06"||||"081230445865"|M. BEST DONGORAN, S.AP.|NOT_KNOWN|GTO|Gorontalo|GORONTALO||8|NOT_KNOWN||"15 m"|"119 m"
c672024c-821d-4c32-b162-612017b50b4c|||false|Admin|2023-08-01 12:00:20.683||2023-08-02 01:00:03.122|true|""||GRESIK|"590"|||PELNI|N|Y|NOT_KNOWN|||||None|None||||""||NOT_KNOWN|BWN|Bawean|JAWA TIMUR||7|NOT_KNOWN|||
b166ff1e-a3f6-4899-a4f4-27f7ad076b6a|||false|Admin|2023-08-01 12:00:20.689||2023-08-02 01:00:03.125|true|Jl. Siliwangi no 24 Manokwari||MANOKWARI|"972"|1.00|830.00|PELNI|Y|Y|NOT_KNOWN|Pipa di dermaga||1.10|1.50|-0.86889|"134.073"||||"082189494117"|DJUNAEDI IDRUS|NOT_KNOWN|MKW|Manokwari|PAPUA BARAT|50.00|9|NOT_KNOWN||"9 - 10 meter"|"330 meter"
"7fce1b97-29ae-42e7-ac8f-4523753e527b"|||false|Admin|2023-08-01 12:00:20.692||2023-08-02 01:00:03.127|true|Pulau Sumba, Nusa Tenggara Tim., Kabupaten Sumba Timur, Nusa Tenggara Tim.||SUMBA TIMUR|"685"|350.00|350.00|PELNI|Y|Y|AVAILABLE|Pipa||3.00|3.00|-9.63848|"120.251"||||"0387-61665"|-|NOT_AVAILABLE|WGP|Waingapu|NUSA TENGGARA TIMUR||8|NOT_AVAILABLE||"14 m "|"150 m"
"0467b2dd-8e24-4a3d-877f-0aa08e25ce95"|||false|Admin|2023-08-01 12:00:20.695||2023-08-02 01:00:03.129|true|Jln. Yos Sudarso No.9. Tarakan Timur Kalimantan Utara 77125|||"808"|21.00|1.00|PELNI|Y|Y|AVAILABLE|Mobil Tangki ||4.00|6.00|"117.59746"|"3.3301706"||||"082185252201"|WHENDY RICHARD IMKOTTA|AVAILABLE|MLD|Tarakan|KALIMANTAN TIMUR|15.00|8|AVAILABLE||"6,5 - 12 meter"|"380 meter"
"5463607b-dcab-4475-be30-e3a91d051e95"|||false|Admin|2023-08-01 12:00:20.697||2023-08-02 01:00:03.130|true|""||SABU RAIJUA|"697"|||PELNI|Y|Y|NOT_KNOWN|||||None|None||||""||NOT_KNOWN|ISA|Seba, Sabu|NUSA TENGGARA TIMUR||8|NOT_KNOWN|||
