"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
220|b166ff1e-a3f6-4899-a4f4-27f7ad076b6a|d7f680b0-bee8-411a-adc5-aa56eabf72db|"971"|"972"|-0.8822873|"131.25055"|-0.86889|"134.073"|Sorong|Manokwari
169|"09d8f97b-a99e-4644-9460-f8b7eb7f5afb"|b166ff1e-a3f6-4899-a4f4-27f7ad076b6a|"972"|"982"|-0.86889|"134.073"|"135.58824"|-3.2212207|Manokwari|Nabire
152|"05aa9d6c-6999-4f7a-b4d6-7dddca9db337"|"09d8f97b-a99e-4644-9460-f8b7eb7f5afb"|"982"|"973"|"135.58824"|-3.2212207|-1.18419|"136.077"|Nabire|Biak
128|fa422e2a-605a-4ca7-954b-8e2b08db4bff|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"892"|"5.0725"|"119.222"|"119.621796"|-4.00225|Makassar|Pare-Pare
292|"0467b2dd-8e24-4a3d-877f-0aa08e25ce95"|"5267592e-5d29-4fdf-8975-7ade3bd50b39"|"863"|"808"|"119.855865"|-0.71057415|"117.59746"|"3.3301706"|Pantoloan|Tarakan
120|ca64bb78-97b1-476d-840e-8bbe475ff906|"2dccb6d0-1b99-4e5a-a551-0db66b8c34d1"|"688"|"681"|-8.3702|"123.405"|None|None|Lewoleba|Kupang
120|ca64bb78-97b1-476d-840e-8bbe475ff906|"9b6f2f2e-69aa-47e7-b1b4-0426b88406d2"|"687"|"681"|-8.341486|"122.987854"|None|None|Larantuka|Kupang
410|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"2dccb6d0-1b99-4e5a-a551-0db66b8c34d1"|"688"|"946"|-8.3702|"123.405"|-3.6942|"128.177"|Lewoleba|Ambon
120|"713c2da6-4421-47e5-adc1-54b321641969"|b166ff1e-a3f6-4899-a4f4-27f7ad076b6a|"972"|"981"|-0.86889|"134.073"|-2.72787|"134.503"|Manokwari|Wasior
127|"09d8f97b-a99e-4644-9460-f8b7eb7f5afb"|"713c2da6-4421-47e5-adc1-54b321641969"|"981"|"982"|-2.72787|"134.503"|"135.58824"|-3.2212207|Wasior|Nabire
868|d7f680b0-bee8-411a-adc5-aa56eabf72db|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"971"|"5.0725"|"119.222"|-0.8822873|"131.25055"|Makassar|Sorong
395|"3c42cdbb-1dd7-4214-99d3-ffabc2c2a93d"|"09d8f97b-a99e-4644-9460-f8b7eb7f5afb"|"982"|"974"|"135.58824"|-3.2212207|-2.54|"140.71365"|Nabire|Jayapura
95|"7d09ed71-36f8-40bf-996a-5a09bae5dc3d"|b456ed3f-543d-416e-98a2-e835bf4f4bec|"920"|"835"|||"1.4436483"|"125.20453"|Amurang|Bitung
146|"72346087-6a6a-462b-a434-913d6f2e5ca9"|"7d09ed71-36f8-40bf-996a-5a09bae5dc3d"|"835"|"942"|"1.4436483"|"125.20453"|"0.78055"|"127.389"|Bitung|Ternate
306|d7f680b0-bee8-411a-adc5-aa56eabf72db|"72346087-6a6a-462b-a434-913d6f2e5ca9"|"942"|"971"|"0.78055"|"127.389"|-0.8822873|"131.25055"|Ternate|Sorong
