"id_ship"|"deleted_by"|"deleted_date"|"is_deleted"|"created_by"|"created_date"|"changed_by"|"changed_date"|"active_status"|"breadth"|"capacity_cargo"|"capacity_container_dry"|"capacity_container_reefer"|"capacity_pax"|"capacity_vehicle_car"|"capacity_vehicle_motorcycle"|"capacity_vehicle_truck"|"content"|"dwt"|"file_name"|"flag_data_source"|"fuel_need"|"imo_number"|"innaport_code"|"length_overal"|"name"|"near_coastal_voyages"|"ship_code"|"speed"|"type_ship"|"type_ship_pax"|"year_of_built"|"draught"|"capacity_redpack"
"2c911422-b6d9-47c9-93d5-71c8d339d3e9"|||false|Admin|2023-07-26 17:19:43.296||2023-08-02 01:00:04.435|false|23.40|1400.00||2.00|1619.00|||||3375.00||PELNI|61886.00||I000000457|146.50|Lambelu||"117"|16.00||Kapal Penumpang||5.90|6400.00
"07a8d140-d267-4ad8-bb9f-5ca97ceaccf9"|||false|Admin|2023-07-26 17:19:43.305||2023-08-02 01:00:04.436|false|23.40|1400.00|10.00|12.00|1398.00|||||3484.00||PELNI|81989.00||I000000092|146.50|Sinabung||"118"|18.00||Kapal Penumpang||5.90|5000.00
"77c9cd1c-9478-4139-807b-3bd99914a034"|||false|Admin|2023-07-26 17:19:43.286||2023-08-02 01:00:04.433|false|23.40|1400.00||2.00|1619.00|||||3375.00||PELNI|68940.00||I000000677|146.50|Bukit Siguntang||"116"|16.00||Kapal Penumpang||5.90|6400.00
"9c6594a4-5e06-4d33-aca0-b8420bdf134c"|||false|Admin|2023-07-26 17:19:43.315||2023-08-02 01:00:04.438|false|23.40|1400.00|10.00|12.00|1398.00|||||3175.00||PELNI|87274.00||I000011767|146.50|Kelud||"119"|17.00||Kapal Penumpang||5.90|2550.00
c85da1ad-6de3-46de-8128-f4c8d23864c2|||false|Admin|2023-07-26 17:19:43.325||2023-08-02 01:00:04.439|false|15.20|534.00|||466.00|||||400.00||PELNI|13254.50||K000025553|74.00|Pangrango||"120"|9.00||Kapal Penumpang||2.85|3600.00
"707fac12-7bcb-407b-8362-690fbb3beec3"|||false|Admin|2023-07-26 17:19:43.334||2023-08-02 01:00:04.441|false|15.20|534.00|||510.00|||||400.00||PELNI|14095.00||K000005315|74.00|Sangiang||"122"|10.00||Kapal Penumpang||2.85|3600.00
"8a55d0dd-01b0-4c87-9e12-cdb76362f990"|||false|Admin|2023-07-26 17:19:43.342||2023-08-02 01:00:04.442|false|15.20|534.00|||510.00|||||400.00||PELNI|13615.60||I000008499|74.00|Wilis||"123"|11.00||Kapal Penumpang||2.85|5000.00
a817d2bc-4ab5-4a7e-bc9b-2bf3f12db761|||false|Admin|2023-07-26 17:19:43.351||2023-08-02 01:00:04.444|false|16.00|||||100.00||||780.00||PELNI|25861.00||I000000017|94.30|Egon||"126"|13.00||Kapal Penumpang||1.88|5000.00
"4389f09d-4044-472c-8868-229e1adef1fb"|||false|Admin|2023-07-26 17:19:43.361||2023-08-02 01:00:04.445|false|23.40|1400.00|10.00|12.00|2026.00|||||3175.00||PELNI|69450.00||I000000053|146.50|Dorolonda||"127"|18.00||Kapal Penumpang||5.90|6672.00
"51cbad9f-d16b-4476-b1a3-00869d589cdc"|||false|Admin|2023-07-26 17:19:43.372||2023-08-02 01:00:04.447|false|23.40|1400.00|10.00|12.00|2066.00|||||3175.00||PELNI|76210.00||I000000004|146.50|Nggapulu||"128"|18.00||Kapal Penumpang||5.90|6880.00
