PORT,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25,pc26,pc27,pc28,pc29,pc30,pc31,pc32,pc33,pc34,pc35,pc36,pc37,pc38,pc39,pc40,pc41,pc42,pc43,pc44,pc45,pc46,pc47,pc48,pc49,pc50,pc51,pc52,pc53,pc54,pc55,pc56,pc57,pc58,pc59,pc60,pc61,pc62,pc63,pc64,pc65,pc66,pc67,pc68,pc69,pc70,pc71,pc72,pd1,pd2,pd3,pd4,pd5,pd6,pd7,pd8,pd9,pd10,pd11,pd12
pc1,0,796,1380,2599,1576,1137,1027,1494,2419,625,292,1162,507,560,1390,2932,920,1337,325,1893,1527,1366,2626,856,1532,2088,1551,1683,1753,766,2786,1462,1730,1468,927,1121,1633,380,1587,2636,1654,811,835,2683,2152,2531,1972,1412,1574,1178,1619,1769,921,608,2484,1147,2863,707,1363,2524,2155,1449,2556,612,110,1813,752,401,1303,1784,1223,1047,730,1659,2988,1744,1496,1340,1284,2303,1875,1792,1958,1065
pc2,796,0,782,1953,978,539,1469,1053,1788,135,278,642,173,70,790,2297,400,1432,262,1079,329,556,1971,336,934,1267,925,753,1155,286,2131,864,720,870,697,601,519,1942,989,1981,1247,213,237,2026,1339,1933,1032,832,976,580,1021,1189,416,300,1886,729,2145,316,765,1926,1557,1290,2065,306,752,1215,884,197,705,1186,357,656,132,1061,2390,1146,898,742,686,1705,1277,1144,1360,467
pc3,1380,782,0,1801,721,243,2469,694,1713,318,1088,525,471,517,210,2097,514,2330,751,1085,623,203,1771,455,142,1233,696,828,898,512,1931,558,875,153,1215,513,431,1760,683,1781,2145,296,305,1828,1173,1853,866,2378,394,386,853,1091,220,1034,1686,2045,2195,1675,459,2846,1477,1124,1945,519,1270,529,310,979,399,1192,329,2015,200,861,2190,946,212,748,486,1505,1077,944,1280,365
pc4,2599,1953,1801,0,1250,1668,1616,1380,242,2114,2350,1630,2267,2110,2243,1318,1737,3107,2397,1960,2322,1787,45,1815,1975,1022,1512,1657,1233,1872,165,2257,1704,1985,2403,1609,1607,2859,2382,392,2922,1847,2031,345,1950,1094,1643,1443,2427,1599,1650,1001,2117,2212,487,2822,2065,2452,2158,45,741,1901,215,1955,2617,1745,2335,2240,2098,1579,1644,2792,1926,1402,389,1179,2013,1823,1315,327,757,917,521,2166
pc5,1576,978,721,1250,0,478,1917,445,966,1034,1227,563,2215,1030,1163,1846,657,1893,1317,834,1250,707,1520,735,895,351,445,577,647,792,1680,1185,624,905,1323,542,527,1899,1310,1170,1842,927,951,1217,870,1302,563,261,1347,519,233,294,1037,1130,870,1742,1514,1372,1078,1295,926,821,1434,919,1409,786,1255,1118,1018,949,564,1712,846,610,1639,595,941,705,235,682,446,333,729,1094
pc6,1137,539,243,1668,478,0,1112,453,1366,595,845,282,788,591,410,1171,271,2349,878,842,1050,113,1528,212,301,796,294,177,688,269,1688,985,250,325,1889,270,188,1517,1110,1538,1117,351,512,1585,876,1610,571,371,637,41,578,1769,598,791,1443,1222,1822,886,600,1789,1234,829,1742,396,1685,794,719,640,826,552,86,1226,407,618,1947,703,455,405,243,1262,834,701,1037,608
pc7,1027,1469,2469,1616,1917,1112,0,1264,2496,893,734,1160,696,796,975,4414,1330,310,746,1763,1112,870,2601,1266,1507,2271,1996,1389,1383,1219,3070,1047,1705,1336,140,1623,1793,3678,1172,3678,146,613,810,3218,1819,2439,1235,1312,1159,1153,1444,2029,896,832,3707,120,4314,320,948,3043,2511,1259,3218,1313,848,1120,1067,1330,6188,1240,1198,150,705,1694,3020,1776,803,1731,1223,2247,1319,1636,2022,666
pc8,1494,1053,694,1380,445,453,1264,0,1127,1009,939,213,919,1005,863,1705,374,1572,1292,366,1217,682,1399,452,870,763,63,294,202,509,1559,1152,314,757,1173,1800,162,1874,1277,1349,2106,902,916,1396,845,1349,508,338,1090,494,545,696,1021,792,1254,2006,1693,954,1053,1612,1105,770,1613,636,1559,761,1172,1009,993,150,539,1294,821,710,1818,250,908,479,210,1073,645,512,908,1561
pc9,2419,1788,1713,242,966,1366,2496,1127,0,1934,2186,1347,2280,1930,2063,1163,1309,2630,2039,1474,2142,1607,174,1557,1795,721,1229,1399,1053,1654,334,2077,1429,1616,2398,1326,1342,2679,2202,540,2466,1882,1851,583,1760,929,1277,1377,2247,1434,1470,836,1937,2047,120,2366,1133,2003,1978,1106,153,1898,999,1781,2873,1686,2155,2078,1918,1399,1464,2343,1746,1222,593,999,1833,1643,1135,560,577,737,341,1833
pc10,625,135,318,2114,1034,595,893,1009,1934,0,301,717,153,65,657,2390,556,1003,299,587,779,447,2084,535,588,1546,776,599,1081,488,2244,714,611,540,604,700,618,1005,839,2094,1654,329,293,2141,1128,2247,946,905,1032,636,1111,728,196,435,2060,668,2439,353,615,2220,1851,1790,2332,420,574,989,940,282,555,998,366,693,188,1238,2564,1320,470,1075,860,1879,1451,1318,1654,411
pc11,292,278,1088,2350,1227,845,734,939,2186,301,0,820,212,236,1098,2603,628,1212,145,1341,1513,714,2277,564,1240,1619,404,924,116,499,2437,870,894,1176,643,829,747,672,1573,2287,1619,519,543,2339,1862,2212,1252,1120,1282,886,1327,1451,629,240,2192,979,2451,912,1393,2232,1863,1273,2371,446,182,1521,1190,109,1289,900,931,1252,438,1367,2696,1452,1204,948,992,2011,1583,1450,1666,773
pc12,1162,642,525,1630,563,282,1160,213,1347,717,820,0,2244,713,692,1906,382,774,2062,410,1332,404,1600,306,683,926,118,302,303,363,1860,1367,272,883,1069,240,322,1246,1492,1697,1813,869,634,1744,1265,1538,666,583,876,323,793,1611,720,617,515,1713,1941,850,1049,1722,1353,928,1861,490,1002,1009,784,98,989,98,374,1190,529,958,2066,498,904,146,458,1321,893,760,1156,868
pc13,507,173,471,2267,2215,788,696,919,2280,153,212,2244,0,119,949,2505,653,850,182,660,1086,607,2185,589,1217,1432,1100,2312,1086,542,2359,1021,709,1027,451,815,730,1717,1146,2209,670,370,394,2256,1435,2138,1031,1025,1133,829,1418,1364,480,340,2100,515,2479,200,922,2260,1891,1078,2399,573,421,1094,1041,170,862,854,530,540,289,1278,2604,1360,777,1115,900,1919,1491,1358,1694,624
pc14,560,70,517,2110,1030,591,796,1005,1930,65,236,713,119,0,727,2386,534,969,234,541,834,443,2080,470,525,1542,776,595,1207,423,2240,832,590,670,570,696,611,940,957,2090,823,265,289,2137,1246,2162,1064,920,911,623,1130,943,375,370,1955,916,2374,418,733,2155,1786,1955,2294,355,449,905,819,217,673,890,427,690,184,1173,2499,1255,672,1010,795,1814,1386,1253,1589,519
pc15,1390,790,210,2243,1163,410,975,863,2063,657,1098,692,949,727,0,1725,681,1405,961,1527,381,413,1915,622,352,1206,900,1270,1008,679,2075,416,1028,142,835,680,598,1770,541,2223,789,326,574,2270,830,2162,648,998,184,369,813,1280,525,1044,2128,1095,2507,615,317,2288,1919,739,2427,806,1558,489,92,1267,257,1328,496,955,469,836,2632,1388,172,1190,928,1947,1519,1386,1722,325
pc16,2932,2297,2097,1318,1846,1171,4414,1705,1163,2390,2603,1906,2505,2386,1725,0,2013,4709,1959,2236,2598,2083,1288,2091,2271,1172,1788,1933,1506,2148,1448,2533,1967,2261,2679,1885,1943,3135,2658,2007,4524,2283,2367,210,2991,224,3245,1826,2703,1212,1946,1287,2393,2606,1405,4424,80,4054,2434,1363,1047,3503,1502,2275,2645,2162,2611,2354,2374,835,1920,4394,2202,1678,1707,1455,2289,2099,1611,1224,1033,1193,797,2442
pc17,920,400,514,1737,657,271,1330,374,1309,556,628,382,653,534,681,2013,0,1503,662,60,1321,384,1707,64,572,1137,349,80,576,165,1867,1256,150,596,1099,324,242,999,1381,1860,1062,627,493,1907,1872,2886,884,617,865,312,814,1413,579,440,1659,1450,2098,909,871,1879,1510,1255,2018,292,810,1043,773,647,811,452,337,1219,762,1101,2430,908,1259,264,1290,1731,1303,1170,1566,1097
pc18,1337,1432,2330,3107,1893,2349,310,1572,2630,1003,1212,774,850,969,1405,4709,1503,0,1032,2298,1542,1771,3031,1439,1673,2246,1868,2088,1691,1392,7191,1477,2118,1658,436,1704,1950,2567,1146,3973,395,2401,1240,1246,2117,2743,1543,222,1589,1583,1874,2901,944,1140,698,310,4609,637,1375,2338,2806,1800,3513,1423,1342,1550,1497,1464,1318,1548,1628,977,1135,2124,3450,2206,1233,2161,1658,2677,2249,2116,2452,1096
pc19,325,262,751,2397,1317,878,746,1292,2039,299,145,2062,182,234,961,1959,662,1032,0,775,1268,677,2367,654,1859,168,394,352,1438,577,2233,1203,824,420,562,930,845,3973,1328,2324,1329,499,576,865,1615,2449,1308,1108,1945,919,1752,1533,662,391,2282,698,2661,338,1104,2442,2073,1526,2581,518,215,1276,1053,150,1044,861,619,678,471,1460,2786,1542,959,1497,1082,2101,1673,1540,1876,806
pc20,1893,1079,1085,1960,834,842,1763,366,1474,587,1341,410,660,541,1527,2236,60,2298,775,0,1586,1071,1930,85,2201,1129,533,108,549,142,2090,1541,138,1269,1728,351,159,2057,1646,1880,1330,1244,504,1974,1056,2012,748,727,1711,883,694,973,1354,461,1785,1927,2224,1557,1442,2005,1636,1362,2144,269,1567,1150,1619,682,1382,274,928,1897,399,974,2303,781,887,137,359,1604,1176,1043,1439,734
pc21,1527,329,623,2322,1250,1050,1112,1217,2142,779,1513,1332,1086,834,381,2598,1321,1542,1268,1586,0,835,2272,1262,749,1747,1217,1329,1419,1319,2452,65,1396,559,972,1314,1299,2185,60,2302,1199,716,755,2349,967,2374,1135,665,565,805,950,1472,662,1181,2207,1232,2586,752,164,2367,1998,876,2506,1446,1695,626,473,1404,224,1596,850,1092,650,973,2712,1467,309,1469,987,2026,1598,1465,1801,315
pc22,1366,556,203,1787,707,113,870,682,1607,447,714,404,607,443,413,2083,384,1771,677,1071,835,0,1757,325,188,1060,682,814,627,382,1917,770,262,212,779,383,301,1746,895,1767,1232,717,364,1814,1279,1679,719,600,597,72,807,957,827,585,1672,1461,2051,981,671,1832,1463,892,1971,509,1256,1023,505,753,611,484,127,1321,259,847,2176,932,526,934,472,1491,1063,930,1266,679
pc23,2626,1971,1771,45,1520,1528,2601,1399,174,2084,2277,1600,2185,2080,1915,1288,1707,3031,2367,1930,2272,1757,0,1785,2090,992,1482,1627,1203,1842,160,2227,1674,1955,2373,1579,1777,2829,2352,387,2600,1977,2001,340,3087,1064,2780,1299,2397,1569,1620,643,2087,2180,306,3959,1278,3588,2128,55,318,3038,210,1569,2339,1836,2305,2168,2068,2118,1614,3928,1896,1372,419,1149,1983,1793,1285,663,282,887,491,2136
pc24,856,336,455,1815,735,212,1266,452,1557,535,564,306,589,470,622,2091,64,1439,654,85,1262,325,1785,0,513,902,362,158,654,57,2011,1197,94,537,1040,265,183,940,1322,1801,1259,563,399,1848,1950,1807,962,695,806,253,905,1055,485,376,1635,1386,2019,888,812,1800,1931,1333,1939,184,746,1121,714,376,722,394,188,1160,294,845,2144,791,667,259,470,1328,1026,893,1234,629
pc25,1532,934,142,1975,895,301,1507,870,1795,588,1240,683,1217,525,352,2271,572,1673,1859,2201,749,188,2090,513,0,834,733,744,1072,570,254,684,551,126,1131,571,489,2316,809,1955,1330,253,907,2002,1158,5047,851,651,536,386,995,1076,993,1092,1860,1281,2239,911,585,2090,1651,1109,159,697,1996,757,704,1431,525,1969,315,1251,802,1035,2364,1120,440,1122,660,1679,1251,1118,1454,467
pc26,2088,1267,1233,1022,351,796,2271,763,721,1546,1619,926,1432,1542,1206,1172,1137,2246,168,1129,1747,1060,992,902,834,0,798,930,605,959,856,1682,977,1100,2441,895,849,2252,1807,1008,763,1691,1304,688,975,936,1110,1021,1390,837,575,192,1390,1622,546,2591,1142,2231,1133,1117,565,931,1008,1086,1763,1139,1298,1440,1371,1567,882,2571,1199,774,1420,551,1286,1195,588,384,265,289,501,1439
pc27,1551,925,696,1512,445,294,1996,83,1229,776,404,118,1100,776,900,1788,349,1868,394,533,1217,682,1482,362,733,798,0,269,285,419,1642,1152,276,768,1867,97,155,1874,1257,1432,1531,902,693,1068,856,1564,549,349,1322,494,545,774,1012,900,1377,2017,1776,1078,1053,2253,1201,807,1696,546,1384,761,1230,959,993,1014,380,1417,588,585,1901,333,908,396,210,1156,728,595,991,1061
pc28,1683,753,828,1657,577,177,1389,294,1399,599,924,302,2312,595,1270,1933,80,2088,352,108,1329,814,1627,158,744,930,269,0,581,215,1847,1284,47,295,1430,108,81,2006,1389,1637,1121,1034,516,1196,977,1709,670,470,1709,1454,626,895,1144,725,1542,1026,1921,1256,1185,1702,1333,928,1667,342,2142,893,1362,794,1125,474,671,1596,411,717,2046,764,943,120,342,1361,933,800,1136,746
pc29,1753,1155,898,1233,647,688,1383,202,1053,1081,116,303,1086,1207,1008,1509,576,1691,1438,549,1419,627,1203,654,1072,605,285,581,0,711,1363,1354,531,842,1292,376,417,2076,1459,1153,202,1104,998,1142,930,1207,568,423,1524,696,747,848,1214,970,1058,2091,1497,1075,1255,1410,909,1393,1183,838,1586,692,1432,1211,1195,320,741,1415,1023,801,1622,54,1110,681,412,877,449,316,712,1358
pc30,766,286,512,1872,792,269,1219,509,1654,488,499,363,542,423,679,2148,165,1392,577,142,1319,382,1842,57,570,959,419,215,711,0,2338,1108,151,494,941,599,201,907,1233,2128,1086,620,481,1835,1434,2260,1019,755,906,310,962,1112,567,257,1712,1025,2472,585,869,1913,1544,1098,1965,127,628,1063,909,3337,949,301,355,985,376,1222,2551,1029,864,385,627,2271,1424,951,1687,716
pc31,2786,2131,1931,165,1680,1688,3070,1559,334,2244,2437,1860,2359,2240,2075,1448,1867,7191,2233,2090,2452,1917,160,2011,254,856,1642,1847,1363,2338,0,2387,1894,2115,2621,1739,1998,3295,2512,227,2766,2039,2161,180,1908,1224,1493,1229,2325,1729,1436,752,2247,2595,212,2149,1436,2169,2288,210,517,1716,50,1579,2122,1671,2321,515,2228,1420,1630,2509,2056,1532,579,1309,2143,1953,1101,282,887,1047,651,2143
pc32,1462,864,558,2257,1185,985,1047,1152,2077,714,870,1367,1021,832,416,2533,1256,1477,1203,1541,65,770,2227,1197,684,1682,1152,1284,1354,1108,2387,0,1155,494,907,1244,1134,2120,125,2237,1134,651,690,2284,902,2309,720,1070,600,740,1277,1427,697,1116,2142,1167,2521,687,99,2302,1933,811,2414,1002,1630,561,508,1339,159,1302,785,1027,585,908,2647,1402,244,1404,942,1961,1533,1400,1736,250
pc33,1730,720,875,1704,624,250,1705,314,1429,611,894,272,709,590,1028,1967,150,2118,824,138,1396,262,1674,94,551,977,276,47,531,151,1894,1155,0,575,986,155,97,1058,1280,1684,1133,601,528,1731,1196,1756,781,517,887,291,724,874,614,408,1589,1248,1968,768,1056,1749,1440,1152,1714,278,1043,940,969,470,996,2683,336,1108,423,764,2093,609,911,120,389,1408,980,847,1183,758
